# Omega_Matter_0 = 0.302   | Omega_Lambda_0 = 0.698   | Omega_K_0 = 0.0   | h = 1.0   |
# RA  DEC  CZ_obs  Mr  HaloID  logMHalo  NGal_H  FLAG  CZ_real  DIST_C  Vp_tot  Vp_tang  Morph  logMstar  r_mag  u_mag  FSMGR  Gal_Match_flag  u_r  mhi_mass  GroupID  Group_NGals  Group_Rproj  Group_CZdisp  Group_logMHalo  Group_Gal_Type
  141.028406     45.819894     3598.77283     -20.564         283837     11.765           2       1    4062.180728    0.00000000e+00     543.43539     283.85761        LT     10.573570    -20.555689    -19.151295      0.338263         ECO      1.404394    8.511387e+09              18           2      0.067335     49.980000     12.059           1
  140.820366     45.828959     3670.30874     -19.168         283837     11.765           2       0    4073.170703    2.14744996e-01     528.86004     342.62979        LT      9.310000    -19.211334    -17.303143      0.155007         ECO      1.908192    1.778282e+09              18           2      0.067335     49.980000     12.059           0
  157.586636     48.572398     3573.40651     -19.150         284054     11.680           1       1    3967.525066    0.00000000e+00     482.78992     278.84884        LT     10.002390    -19.142090    -17.692196      0.814564         ECO      1.449894    2.454705e+09              19           1      0.000000      0.000000     11.429           1
  140.765926      1.976329     2868.57700     -19.408         284061     11.420           1       1    2872.762118    0.00000000e+00     413.52708     413.50590        LT      9.668033    -19.446058    -17.141872      0.122841         ECO      2.304186    3.890450e+08              20           1      0.000000      0.000000     11.529           1
  138.073734      2.411931     2778.31482     -19.504         284291     11.582           1       1    2835.919200    0.00000000e+00     500.32413     496.99696        LT     10.142950    -19.519154    -17.707481      0.306532         ECO      1.811672    1.621812e+09              21           1      0.000000      0.000000     11.566           1
  150.448273     45.010607     3583.90691     -18.859         284364     11.527           2       0    3947.543986    1.68454084e-02     501.08902     344.75830        LT      9.180000    -18.909674    -16.841579      0.126115         ECO      2.068094    6.760833e+08              22           2      0.007163      7.150000     11.600           1
  150.425461     45.014956     3594.14060     -18.846         284364     11.527           2       1    3947.281565    0.00000000e+00     434.01813     252.31567        LT      9.518378    -18.872877    -17.172718      0.705200         ECO      1.700159    1.122018e+09              22           2      0.007163      7.150000     11.600           0
  143.089444     46.579813     3592.03982     -18.780         284394     11.561           1       1    4071.099481    0.00000000e+00     579.46278     326.00454        LT      9.750146    -18.771297    -17.081619      0.598305         ECO      1.689678    7.762471e+08              23           1      0.000000      0.000000     11.194           1
  134.386478     23.768924     2573.16862     -19.233         284447     11.552           2       1    2773.980383    0.00000000e+00     426.93811     376.76356        LT      9.852065    -19.267509    -17.480774      0.334573         ECO      1.786736    1.174898e+09              24           2      0.058739      9.990000     11.687           1
  134.470404     23.592015     2587.42020     -18.967         284447     11.552           2       0    2772.555959    1.34918511e-01     476.51006     439.07469        LT      9.180000    -18.950806    -17.619106      0.577852         ECO      1.331699    2.344229e+09              24           2      0.058739      9.990000     11.687           0
  157.348751     41.615085     3574.88872     -19.603         284582     11.493           1       1    3837.559625    0.00000000e+00     427.91400     337.80821        ET     10.095447    -19.710632    -17.757656      0.183973         ECO      1.952976    1.023292e+09              25           1      0.000000      0.000000     11.599           1
  162.693188      1.961879     2597.58034     -19.294         284615     11.479           1       1    2601.087229    0.00000000e+00     410.53754     410.52256        ET      9.532480    -19.324076    -17.078632      0.226535         ECO      2.245443    2.691535e+08              26           1      0.000000      0.000000     11.486           1
  157.460001     49.488156     3591.90825     -20.171         284695     11.456           1       1    3976.642566    0.00000000e+00     445.87026     225.34373        LT      9.518133    -20.158224    -18.781075      1.150765         ECO      1.377150    6.760832e+09              27           1      0.000000      0.000000     11.800           1
  154.988872     34.509459     2571.39141     -19.508         284863     11.437           1       1    2858.866877    0.00000000e+00     341.08860     183.57366        LT      9.988928    -19.534527    -17.681931      0.415138         ECO      1.852596    9.332558e+08              28           1      0.000000      0.000000     11.569           1
